File Name	Container
26_VO_CIVILIAN_Die_Scream_MS_2.wav	VO_CIVILIAN_Die_Scream_MS
18_VO_CIVILIAN_Call_GUARD_MS_4.wav	VO_CIVILIAN_Call_GUARD_MS
25_VO_CIVILIAN_Grab_Struggle_MS_5.wav	VO_CIVILIAN_Grab_Struggle_MS
25_VO_CIVILIAN_Grab_Struggle_MS_4.wav	VO_CIVILIAN_Grab_Struggle_MS
26_VO_CIVILIAN_Die_Scream_MS_3.wav	VO_CIVILIAN_Die_Scream_MS
26_VO_CIVILIAN_Die_Scream_MS_1.wav	VO_CIVILIAN_Die_Scream_MS
25_VO_CIVILIAN_Grab_Struggle_MS_6.wav	VO_CIVILIAN_Grab_Struggle_MS
4_VO_CIVILIAN_Capture_Item_MS_4.wav	VO_CIVILIAN_Capture_Item_MS
25_VO_CIVILIAN_Grab_Struggle_MS_7.wav	VO_CIVILIAN_Grab_Struggle_MS
25_VO_CIVILIAN_Grab_Struggle_MS_3.wav	VO_CIVILIAN_Grab_Struggle_MS
18_VO_CIVILIAN_Call_GUARD_MS_2.wav	VO_CIVILIAN_Call_GUARD_MS
26_VO_CIVILIAN_Die_Scream_MS_4.wav	VO_CIVILIAN_Die_Scream_MS
21_VO_CIVILIAN_Flee_Scream_MS_2.wav	VO_CIVILIAN_Flee_Scream_MS
2_VO_CIVILIAN_Idle_Laugh_MS_1.wav	VO_CIVILIAN_Idle_Laugh_MS
21_VO_CIVILIAN_Flee_Scream_MS_3.wav	VO_CIVILIAN_Flee_Scream_MS
4_VO_CIVILIAN_Capture_Item_MS_1.wav	VO_CIVILIAN_Capture_Item_MS
26_VO_CIVILIAN_Die_Scream_MS_5.wav	VO_CIVILIAN_Die_Scream_MS
27_VO_CIVILIAN_Hit_Scream_MS_low.wav	VO_CIVILIAN_Hit_Scream_MS
18_VO_CIVILIAN_Call_GUARD_MS_3.wav	VO_CIVILIAN_Call_GUARD_MS
25_VO_CIVILIAN_Grab_Struggle_MS_2.wav	VO_CIVILIAN_Grab_Struggle_MS
18_VO_CIVILIAN_Call_GUARD_MS_1.wav	VO_CIVILIAN_Call_GUARD_MS
4_VO_CIVILIAN_Capture_Item_MS_3.wav	VO_CIVILIAN_Capture_Item_MS
21_VO_CIVILIAN_Flee_Scream_MS_1.wav	VO_CIVILIAN_Flee_Scream_MS
2_VO_CIVILIAN_Idle_Laugh_MS_2.wav	VO_CIVILIAN_Idle_Laugh_MS
2_VO_CIVILIAN_Idle_Laugh_MS_3.wav	VO_CIVILIAN_Idle_Laugh_MS
4_VO_CIVILIAN_Capture_Item_MS_2.wav	VO_CIVILIAN_Capture_Item_MS
26_VO_CIVILIAN_Die_Scream_MS_6.wav	VO_CIVILIAN_Die_Scream_MS
25_VO_CIVILIAN_Grab_Struggle_MS_1.wav	VO_CIVILIAN_Grab_Struggle_MS
17_VO_CIVILIAN_Attack_Weapon_MS_3.wav	VO_CIVILIAN_Attack_Weapon_MS
24_VO_CIVILIAN_Grab_Squirm_MS_4.wav	VO_CIVILIAN_Grab_Squirm_MS
24_VO_CIVILIAN_Grab_Squirm_MS_5.wav	VO_CIVILIAN_Grab_Squirm_MS
30_VO_CIVILIAN_Eat_COCKATRICE_MS_4.wav	VO_CIVILIAN_Eat_COCKATRICE_MS
9_VO_CIVILIAN_Mischief_Curious_MS_4.wav	VO_CIVILIAN_Mischief_Curious_MS
17_VO_CIVILIAN_Attack_Weapon_MS_2.wav	VO_CIVILIAN_Attack_Weapon_MS
3_VO_CIVILIAN_Capture_CHICKEN_MS_4.wav	VO_CIVILIAN_Capture_CHICKEN_MS
24_VO_CIVILIAN_Grab_Squirm_MS_6.wav	VO_CIVILIAN_Grab_Squirm_MS
17_VO_CIVILIAN_Attack_Weapon_MS_1.wav	VO_CIVILIAN_Attack_Weapon_MS
19_VO_CIVILIAN_Call_COCKATRICE_MS_3.wav	VO_CIVILIAN_Call_COCKATRICE_MS
17_VO_CIVILIAN_Attack_Weapon_MS_5.wav	VO_CIVILIAN_Attack_Weapon_MS
3_VO_CIVILIAN_Capture_CHICKEN_MS_3.wav	VO_CIVILIAN_Capture_CHICKEN_MS
16_VO_CIVILIAN_Attack_Kick_MS_9.wav	VO_CIVILIAN_Attack_Kick_MS
9_VO_CIVILIAN_Mischief_Curious_MS_3.wav	VO_CIVILIAN_Mischief_Curious_MS
17_VO_CIVILIAN_Attack_Weapon_MS_10.wav	VO_CIVILIAN_Attack_Weapon_MS
30_VO_CIVILIAN_Eat_COCKATRICE_MS_3.wav	VO_CIVILIAN_Eat_COCKATRICE_MS
24_VO_CIVILIAN_Grab_Squirm_MS_2.wav	VO_CIVILIAN_Grab_Squirm_MS
24_VO_CIVILIAN_Grab_Squirm_MS_3.wav	VO_CIVILIAN_Grab_Squirm_MS
30_VO_CIVILIAN_Eat_COCKATRICE_MS_2.wav	VO_CIVILIAN_Eat_COCKATRICE_MS
9_VO_CIVILIAN_Mischief_Curious_MS_2.wav	VO_CIVILIAN_Mischief_Curious_MS
16_VO_CIVILIAN_Attack_Kick_MS_8.wav	VO_CIVILIAN_Attack_Kick_MS
17_VO_CIVILIAN_Attack_Weapon_MS_4.wav	VO_CIVILIAN_Attack_Weapon_MS
3_VO_CIVILIAN_Capture_CHICKEN_MS_2.wav	VO_CIVILIAN_Capture_CHICKEN_MS
19_VO_CIVILIAN_Call_COCKATRICE_MS_2.wav	VO_CIVILIAN_Call_COCKATRICE_MS
11_VO_CIVILIAN_CHICKEN_Yell_MS_1.wav	VO_CIVILIAN_CHICKEN_Yell_MS
11_VO_CIVILIAN_CHICKEN_Yell_MS_3.wav	VO_CIVILIAN_CHICKEN_Yell_MS
