#,TRUE,Description,Tone,Dialogue,Take,,,,,,,Unique ID,File Name,Notes
Cocky,,,,,,,,,,,,,,
,,Idle,,,,,,,,,,,,
1,FALSE,Talking to another GUARD (short lines),Regular Speech,Nih bah tuu gee so tah,A,B,C,D,E,F,G,Talk_GUARD,VO_GUARD_Idle_Talk_GUARD,
2,FALSE,Talking to a CIVILIAN (*What do you want?*),Condescending,Kah dum foo?,A,B,C,D,E,F,G,Talk_CIV,VO_GUARD_Idle_Talk_CIV,
3,FALSE,Marching down the street,Energetic,Hoi hoi hoi hoi hoi,A,B,C,D,E,F,G,March,VO_GUARD_Idle_March,
4,FALSE,Guarding a post or object (*None shall pass!*),Confident,Unn dal mass!,A,B,C,D,E,F,G,Guard,VO_GUARD_Idle_Guard,
5,FALSE,Laughing at seeing/hearing something funny,Hearty,Hoo hoo hoooo!,A,B,C,D,E,F,G,Laugh,VO_GUARD_Idle_Laugh,
,,Capture,,,,,,,,,,,,
6,FALSE,Successfully captured chicken (*We got you!*),Satisfied,Zou dew too!,A,B,C,D,E,F,G,CHICKEN,VO_GUARD_Capture_CHICKEN,
7,FALSE,Take an item back from the CHICKEN,Snicker,Tap saw! Ha!,A,B,C,D,E,F,G,Item,VO_GUARD_Capture_Item,
Puzzled,,,,,,,,,,,,,,
,,Lost,,,,,,,,,,,,
8,FALSE,Hear a nearby sound,Confused,Hmmm?,A,B,C,D,E,F,G,Confused,VO_GUARD_Lost_Confused,
9,FALSE,Catching breath after running,Tired,*Catching breath*,A,B,C,D,E,F,G,Tired,VO_GUARD_Lost_Tired,
10,FALSE,Large sad sigh (after chicken got away from you),Disheartened,*Sigh*... tang!,A,B,C,D,E,F,G,Sad,VO_GUARD_Lost_Sad,
,,Mischief,,,,,,,,,,,,
11,FALSE,Caught CHICKEN causing mischief,Annoyed,Kar bon tee!,A,B,C,D,E,F,G,Annoyed,VO_GUARD_Mischief_Annoyed,
12,FALSE,Investingating a sound you heard,Curious,Uzzz ehh leer?,A,B,C,D,E,F,G,Curious,VO_GUARD_Mischief_Curious,
13,FALSE,Seeing something unexpected,Shocked,Uhhh kohh!,A,B,C,D,E,F,G,Shocked,VO_GUARD_Mischief_Shocked,
Aggressive,,,,,,,,,,,,,,
,,CHICKEN,,,,,,,,,,,,
14,FALSE,Yell at CHICKEN,Angry,Da Tab a new!,A,B,C,D,E,F,G,Yell,VO_GUARD_CHICKEN_Yell,
15,FALSE,Call to CHICKEN,Aggressive,Cluck Cluck!,A,B,C,D,E,F,G,Call,VO_GUARD_CHICKEN_Call,
,,COCKATRICE,,,,,,,,,,,,
16,FALSE,Call to COCKATRICE,Provoked,Kokoroko!,A,B,C,D,E,F,G,Call,VO_GUARD_COCKATRICE_Call,
17,FALSE,Pointing out COCKATRICE to other GUARDS,Vengeful,Gui tem boo!,A,B,C,D,E,F,G,Point,VO_GUARD_COCKATRICE_Point,
,,Chase,,,,,,,,,,,,
18,FALSE,Chasing CHICKEN (*We got you!*),Determined,Nuu bah too!,A,B,C,D,E,F,G,CHICKEN,VO_GUARD_Chase_CHICKEN,
,,Attack,,,,,,,,,,,,
19,FALSE,Weak Attack (kick),Aggressive,Argh... ack... aft!,A,B,C,D,E,F,G,KICK,VO_GUARD_Attack_KICK,
20,FALSE,Strong Attack (swing sword),Aggressive,Uoaahhhhg!,A,B,C,D,E,F,G,SWORD,VO_GUARD_Attack_SWORD,
Fear,,,,,,,,,,,,,,
,,Flee,,,,,,,,,,,,
21,FALSE,Fleeing from danger,Frightened,Ahhhh!,A,B,C,D,E,F,G,Run,VO_GUARD_Flee_Run,
22,FALSE,Screaming in fear of death (low health),Terrified,Jooo! Ji naw puno mie!,A,B,C,D,E,F,G,Scream,VO_GUARD_Flee_Scream,
,,Cower,,,,,,,,,,,,
23,FALSE,Cowering in fetal position (quivering),Mortified,Ooo huu hoo haww,A,B,C,D,E,F,G,Quiver,VO_GUARD_Cower_Quiver,
24,FALSE,Crying with no feeling of hope (ugly cry),Distraught,Uhh... huh... hoo...,A,B,C,D,E,F,G,Cry,VO_GUARD_Cower_Cry,
Reactions,,,,,,,,,,,,,,
,,Grab,,,,,,,,,,,,
25,FALSE,Grabbed by COCKATRICE (screaming and squirming),Frantic,Jet roo loo!,A,B,C,D,E,F,G,Squirm,VO_GUARD_Grab_Squirm,
26,FALSE,Grabbed by COCKATRICE (struggling to break free),Struggling,*Huffs and puffs*,A,B,C,D,E,F,G,Struggle,VO_GUARD_Grab_Struggle,
,,Die,,,,,,,,,,,,
27,FALSE,Death (varying intensities),Stinging,Arghh...,A,B,C,D,E,F,G,Scream,VO_GUARD_Die_Scream,
,,Hit,,,,,,,,,,,,
28,FALSE,Receive Hit (variety of hit intensities),Annoyed,Owww!,A,B,C,D,E,F,G,Scream,VO_GUARD_Hit_Scream,
,,Fall,,,,,,,,,,,,
29,FALSE,Falling (mid-air),Concerned,Owwhaaa,A,B,C,D,E,F,G,Scream,VO_GUARD_Fall_Scream,
30,FALSE,Being thrown (mid-air),Despair,Wooooohoooooo!,A,B,C,D,E,F,G,Throw,VO_GUARD_Fall_Throw,
,,Eat,,,,,,,,,,,,
31,FALSE,Eaten by COCKATRICE,Despair,Whaaaaa... ahhh... urhh...,A,B,C,D,E,F,G,COCKATRICE,VO_GUARD_Eat_COCKATRICE,
